Ticker,Price,EPS,Book Value,Dividend per Share,Net Income,Shareholder Equity,Current Liabilities,EBIT,Total Assets,Total Liabilities,Revenue,Operating Income,Free Cash Flow
HCLTECH.NS,1476.0999755859375,62.52,3.01,54.0,173900000000.0,696550000000.0,280390000000.0,239050000000.0,1055440000000.0,358710000000.0,1170550000000.0,214200000000.0,211530000000.0
HDBFS.NS,792.9500122070312,26.2,198.796,0.0,21759200000.0,158197500000.0,412391100000.0,63781700000.0,1086632900000.0,928435400000.0,160796300000.0,84402300000.0,-138361200000.0
HDFCAMC.NS,5719.0,121.2,380.274,90.0,24601900000.0,81299800000.0,2796100000.0,32949900000.0,87506600000.0,6206800000.0,34984400000.0,27333800000.0,20300100000.0
HDIL.NS,3.049999952316284,-0.05,-76.405,0.0,-103165000.0,-22949237000.0,62607034000.0,-115840000.0,39657798000.0,62607035000.0,16146000.0,-115840000.0,102115000.0
HEADSUP.NS,10.670000076293944,2.06,6.965,0.0,13938000.0,153346000.0,25954000.0,16012000.0,182640000.0,29294000.0,14196000.0,7630000.0,944000.0
HECPROJECT.NS,159.00999450683594,9.07,52.249,0.0,92435000.0,531354000.0,525349000.0,148580000.0,1061601000.0,530247000.0,1120991000.0,138049000.0,-260004000.0
HEG.NS,509.5499877929688,10.18,230.792,1.8,1150554000.0,44537683000.0,10854863000.0,1919841000.0,56481620000.0,11943937000.0,21443207000.0,1943672000.0,974754000.0
HEIDELBERG.NS,220.0200042724609,5.08,61.67,8.0,1067500000.0,13951800000.0,9280200000.0,1751000000.0,25419600000.0,11467800000.0,21488800000.0,1296300000.0,1552900000.0
HEMIPROP.NS,137.75,-0.26,15.1,0.0,-75185000.0,3985227000.0,6496835000.0,-31882000.0,11019969000.0,7034742000.0,9064000.0,-101093000.0,-168605000.0
HERANBA.NS,324.20001220703125,-1.89,210.149,1.0,30700000.0,8408000000.0,8595800000.0,488900000.0,18128500000.0,9629200000.0,14097300000.0,413100000.0,-1746700000.0
HERITGFOOD.NS,469.8500061035156,18.36,104.742,2.5,1882800000.0,9719600000.0,3765660000.0,2730930000.0,15583400000.0,5863800000.0,41322820000.0,2674750000.0,374810000.0
HEROMOTOCO.NS,5118.2001953125,251.69,963.55,130.0,43784800000.0,192720400000.0,74759800000.0,60042100000.0,283903200000.0,89862300000.0,407124900000.0,51632000000.0,34407600000.0
HESTERBIO.NS,1946.5999755859373,43.76,369.413,7.0,274880000.0,3142550000.0,1251840000.0,479110000.0,6533850000.0,3267290000.0,3111020000.0,452430000.0,439200000.0
HEUBACHIND.NS,592.2000122070312,27.46,226.748,0.0,514500000.0,5233400000.0,1966200000.0,707300000.0,7581100000.0,2347700000.0,8250600000.0,607800000.0,987100000.0
HEXATRADEX.NS,179.27999877929688,-4.21,812.374,0.0,-249471000.0,44787257000.0,11939000.0,-96915000.0,51745005000.0,6957748000.0,45614000.0,-96915000.0,224835000.0
HEXT.NS,750.5,21.59,95.492,11.5,11764000000.0,53569000000.0,28721000000.0,15977000000.0,89945000000.0,36399000000.0,119744000000.0,17960000000.0,14147000000.0
HFCL.NS,74.37999725341797,0.24,28.053,0.2,1774100000.0,40791500000.0,28878700000.0,4016000000.0,75462900000.0,34269700000.0,40645200000.0,3434800000.0,-132000000.0
HGINFRA.NS,983.7000122070312,67.82,452.603,2.0,5054010000.0,29496650000.0,24296950000.0,9455010000.0,87727120000.0,58229480000.0,50561820000.0,9198210000.0,-24383250000.0
HGS.NS,537.4000244140625,-17.25,1658.965,7.0,1214200000.0,77081200000.0,23260400000.0,2889800000.0,111720400000.0,33171900000.0,44041800000.0,-2656000000.0,2135100000.0
HIKAL.NS,263.3500061035156,5.12,102.342,1.6,908000000.0,12623000000.0,7895000000.0,1990000000.0,25289000000.0,12666000000.0,18435000000.0,1940000000.0,1431000000.0
HILINFRA.NS,108.68000030517578,-0.24,19.525,0.0,196700000.0,1128360000.0,1002670000.0,360900000.0,2315620000.0,1138400000.0,4957150000.0,290470000.0,-66370000.0
HILTON.NS,55.810001373291016,2.78,49.29,0.0,61763000.0,1155963000.0,908669000.0,131443000.0,2207108000.0,1051145000.0,1630473000.0,79680000.0,-31755000.0
